,referenceCode,legacyId,parentId,qubitParentSlug,identifier,accessionNumber,title,levelOfDescription,extentAndMedium,repository,archivalHistory,acquisition,scopeAndContent,appraisal,accruals,arrangement,accessConditions,reproductionConditions,language,script,languageNote,physicalCharacteristics,findingAids,locationOfOriginals,locationOfCopies,relatedUnitsOfDescription,publicationNote,digitalObjectURI,digitalObjectChecksum,generalNote,subjectAccessPoints,placeAccessPoints,nameAccessPoints,genreAccessPoints,descriptionIdentifier,institutionIdentifier,rules,descriptionStatus,levelOfDetail,revisionHistory,languageOfDescription,scriptOfDescription,sources,archivistNote,publicationStatus,physicalObjectName,physicalObjectLocation,physicalObjectType,alternativeIdentifiers,alternativeIdentifierLabels,eventDates,eventTypes,eventStartDates,eventEndDates,eventDescriptions,eventActors,eventActorHistories,eventPlaces,culture
0,SeknegRi,121299.0,,,,,Sekretariat Negara Republik Indonesia 1945-1949,Fonds,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,Inventaris Arsip Sekretariat Negara Republik Indonesia Tahun 1945-1949,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
1,,121300.0,121299.0,,,,I. KESEKRETARIATAN,Series,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
2,,121301.0,121300.0,,,,A. TATA USAHA DAN RUMAH TANGGA,File,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
3,1,,121301.0,,1.0,,Pemerintah RI Jogjakarta: Peraturan No. 62 tgl. 6 November 1948 tentang hak untuk mempergunakan gedung-gedung dan lain sebagainya di Daerah Istimewa Jogjakarta.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
4,2,,121301.0,,2.0,,Menteri Negara Ri Koordinator Keamanan: Peraturan No. R.I/4 tgl. 4 Juli 1949 tentang mempergunakan gedung-gedung. Risalah peringatan wafatnya K.H. Hasyim Asyari.,Item,6 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Stensilan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
5,3,,121301.0,,3.0,,Menteri Pertahanan: Surat Keputusan No. A/609/1948 tgl. 9 November 1948 tentang perubahan cap Kementerian Pertahanan disertai surat pengantar.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
6,4,,121301.0,,4.0,,Wakil Sekretaris Negara: Surat Edaran No. 357/P/49 tentang permintaan bantuan kertas.,Item,4 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Stensilan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
7,5,,121301.0,,5.0,,Struktur organisasi Urusan Rumah-Tangga Presiden RI.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
8,6,,121301.0,,6.0,,"Peta Meja Makan Bersama Presiden, C.G. Belgi v.d. Stichelen.",Item,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,Fisik arsip tidak ada,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
9,7,,121301.0,,7.0,,Daftar barang-barang perak tahun 1948.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
10,8,,121301.0,,8.0,,Setneg kepada Suryocondro: Telegram No. 452/K-48 tgl. 20 Maret 1948 tentang pemeriksaan penyakit Presiden RI ditangguhkan dahulu.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Pertinggal,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
11,9,,121301.0,,9.0,,Setneg kepada Mr. Surjotjondro: Telegram No. 472/K-48 tgl. 23 Maret 1948 tentang permohonan ruangan besar untuk kantor para Koordinator Kementerian Kemakmuran.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Pertinggal,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
12,10,,121301.0,,10.0,,Telegram dari Pejabatan Kantor Radio-BC tgl. 24 Juni 1948 tentang telegram-telegram yang tidak sampai.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Turunan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
13,11,,121301.0,,11.0,,Surjotjondro kepada Setneg: Telegram No. 549/di/48 tgl. 28 Juni 1948 tentang inventaris barang Gedung Pegangsaan.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Tembusan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
14,12,,121301.0,,12.0,,Jadwal Perhubungan Kawat Jakarta-Jogjakarta tgl. 28 Juli 1948.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
15,13,,121301.0,,13.0,,Telegram-telegram tgl. 19 Februari 1948-20 Agustus 1948 tentang pengiriman barang.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
16,14,,121301.0,,14.0,,Sekretaris Delegasi kepada Setneg: Surat tgl. 20 Mei 1949 tentang kantor-kantor di Kepatihan.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
17,15,,121301.0,,15.0,,Surat-surat tgl. 12 Mei 1947-9 Juli 1949 tentang cara pengiriman kawat/telegram.,Item,8 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
18,16,,121301.0,,16.0,,Intedance Presidenan: Surat tgl. 29 Juli 1949 tentang permintaan disediakan kopi.,Item,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
19,17,,121301.0,,17.0,,Kepala Muda Penjabatan Bea dan Cukai kepada Setneg: Surat tgl. 19 Agustus 1949 tentang pembukaan kembali Kantor Besar Penjabatan Bea dan Cukai.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
20,18,,121301.0,,18.0,,Jawatan Pos Telegrap dan Telepon RI: Surat-surat tgl. 8 Agustus 1949-19 September 1949 tentang pemasangan sambungan telepon.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
21,19,,121301.0,,19.0,,"Parmadipura kepada Ngatidjo, pegawai Kantor Intendance Istana Presiden: Surat tanda terima penyerahan barang-barang tgl. 12 Oktober 1949.",Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
22,20,,121301.0,,20.0,,Surat-surat tgl. 14 Desember 1948-13 Oktober 1949 tentang perwakilan/pelimpahan jabatan dari berbagai kementerian.,Item,6 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
23,21,,121301.0,,21.0,,"Pengadilan Tinggi Jogja kepada Presiden: Surat tgl. 15 Oktober 1949 tentang permintaan gedung untuk Pengadilan Tinggi Jogjakarta, disertai surat pengantar 26 Oktober 1949.",Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
24,22,,121301.0,,22.0,,Setneg kepada Kementerian Penerangan: Surat-surat tgl. 18 Oktober 1949 tentang peminjaman alat pengeras suara.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, pertinggal",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
25,23,,121301.0,,23.0,,Perusahaan Tembako Indonesia: Surat-menyurat tgl. 19 Oktober 1949-26 Oktober 1949 tentang pesanan rokok.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
26,24,,121301.0,,24.0,,Surat-surat tgl. 1 April 1947-11 November 1949 tentang penggunaan cap/stempel.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
27,25,,121301.0,,25.0,,Pimpinan Tata Usaha Koperasi Perusahaan Pemborongan SEPERTI di Jakarta kepada Presiden: Surat tgl. 14 November 1949 tentang permohonan mendapat pekerjaan memperbaiki istana.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
28,26,,121301.0,,26.0,,Surat-surat tgl. 22 November 1948-23 November 1949 tentang perlengkapan di Istana Presiden.,Item,4 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, pertinggal",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
29,27,,121301.0,,27.0,,Surat-surat tgl. 27 Februari 1948-26 November 1949 tentang pengadaan perlengkapan pada Kantor Setneg.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
30,28,,121301.0,,28.0,,Setneg kepada Soetopo di Jawatan Gedung-gedung: Nota tgl. 26 November 1949 tentang perbaikan pada Kantor Setneg.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
31,29,,121301.0,,29.0,,Surat-surat tgl. 11 Juni 1947-1 Desember 1949 tentang nama-nama pejabat dan orang terkemuka dari berbagai Kementerian.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
32,30,,121301.0,,30.0,,Daftar surat-surat masuk tgl. 29 November 1949-5 Desember 1949.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
33,31,,121301.0,,31.0,,Surat-surat pengantar tgl. 10 Januari 1946-15 Desember 1949.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, pertinggal",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
34,32,,121301.0,,32.0,,Surat-surat tgl. 6 Februari 1948-21 Desember 1949 tentang alamat-alamat kantor.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
35,33,,121301.0,,33.0,,Surat-surat tgl. 27 Mei-21 Desember 1949 tentang kendaraan bermotor.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
36,,121302.0,121300.0,,,,B. KEPEGAWAIAN,File,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
37,34,,121302.0,,34.0,,Prof. Asikin kepada Setneg: Telegram tgl. 17 Agustus 1948 tentang pemberitahuan sakit.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
