"referenceCode","legacyId","parentId","qubitParentSlug","identifier","accessionNumber","title","levelOfDescription","extentAndMedium","repository","archivalHistory","acquisition","scopeAndContent","appraisal","accruals","arrangement","accessConditions","reproductionConditions","language","script","languageNote","physicalCharacteristics","findingAids","locationOfOriginals","locationOfCopies","relatedUnitsOfDescription","publicationNote","digitalObjectURI","digitalObjectChecksum","generalNote","subjectAccessPoints","placeAccessPoints","nameAccessPoints","genreAccessPoints","descriptionIdentifier","institutionIdentifier","rules","descriptionStatus","levelOfDetail","revisionHistory","languageOfDescription","scriptOfDescription","sources","archivistNote","publicationStatus","physicalObjectName","physicalObjectLocation","physicalObjectType","alternativeIdentifiers","alternativeIdentifierLabels","eventDates","eventTypes","eventStartDates","eventEndDates","eventDescriptions","eventActors","eventActorHistories","eventPlaces","culture"
"SeknegRi",121299,,,,,"Sekretariat Negara Republik Indonesia 1945-1949","Fonds",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,"Inventaris Arsip Sekretariat Negara Republik Indonesia Tahun 1945-1949",,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
,121300,121299,,,,"I. KESEKRETARIATAN","Series",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
,121301,121300,,,,"A. TATA USAHA DAN RUMAH TANGGA","File",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"1",,121301,,"1",,"Pemerintah RI Jogjakarta: Peraturan No. 62 tgl. 6 November 1948 tentang hak untuk mempergunakan gedung-gedung dan lain sebagainya di Daerah Istimewa Jogjakarta.","Item","3 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"2",,121301,,"2",,"Menteri Negara Ri Koordinator Keamanan: Peraturan No. R.I/4 tgl. 4 Juli 1949 tentang mempergunakan gedung-gedung. Risalah peringatan wafatnya K.H. Hasyim Asyari.","Item","6 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Stensilan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"3",,121301,,"3",,"Menteri Pertahanan: Surat Keputusan No. A/609/1948 tgl. 9 November 1948 tentang perubahan cap Kementerian Pertahanan disertai surat pengantar.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"4",,121301,,"4",,"Wakil Sekretaris Negara: Surat Edaran No. 357/P/49 tentang permintaan bantuan kertas.","Item","4 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Stensilan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"5",,121301,,"5",,"Struktur organisasi Urusan Rumah-Tangga Presiden RI.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"6",,121301,,"6",,"Peta Meja Makan Bersama Presiden, C.G. Belgi v.d. Stichelen.","Item",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,"Fisik arsip tidak ada","Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"7",,121301,,"7",,"Daftar barang-barang perak tahun 1948.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"8",,121301,,"8",,"Setneg kepada Suryocondro: Telegram No. 452/K-48 tgl. 20 Maret 1948 tentang pemeriksaan penyakit Presiden RI ditangguhkan dahulu.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Pertinggal",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"9",,121301,,"9",,"Setneg kepada Mr. Surjotjondro: Telegram No. 472/K-48 tgl. 23 Maret 1948 tentang permohonan ruangan besar untuk kantor para Koordinator Kementerian Kemakmuran.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Pertinggal",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"10",,121301,,"10",,"Telegram dari Pejabatan Kantor Radio-BC tgl. 24 Juni 1948 tentang telegram-telegram yang tidak sampai.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Turunan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"11",,121301,,"11",,"Surjotjondro kepada Setneg: Telegram No. 549/di/48 tgl. 28 Juni 1948 tentang inventaris barang Gedung Pegangsaan.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Tembusan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"12",,121301,,"12",,"Jadwal Perhubungan Kawat Jakarta-Jogjakarta tgl. 28 Juli 1948.","Item","3 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"13",,121301,,"13",,"Telegram-telegram tgl. 19 Februari 1948-20 Agustus 1948 tentang pengiriman barang.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"14",,121301,,"14",,"Sekretaris Delegasi kepada Setneg: Surat tgl. 20 Mei 1949 tentang kantor-kantor di Kepatihan.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"15",,121301,,"15",,"Surat-surat tgl. 12 Mei 1947-9 Juli 1949 tentang cara pengiriman kawat/telegram.","Item","8 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"16",,121301,,"16",,"Intedance Presidenan: Surat tgl. 29 Juli 1949 tentang permintaan disediakan kopi.","Item",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"17",,121301,,"17",,"Kepala Muda Penjabatan Bea dan Cukai kepada Setneg: Surat tgl. 19 Agustus 1949 tentang pembukaan kembali Kantor Besar Penjabatan Bea dan Cukai.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"18",,121301,,"18",,"Jawatan Pos Telegrap dan Telepon RI: Surat-surat tgl. 8 Agustus 1949-19 September 1949 tentang pemasangan sambungan telepon.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"19",,121301,,"19",,"Parmadipura kepada Ngatidjo, pegawai Kantor Intendance Istana Presiden: Surat tanda terima penyerahan barang-barang tgl. 12 Oktober 1949.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"20",,121301,,"20",,"Surat-surat tgl. 14 Desember 1948-13 Oktober 1949 tentang perwakilan/pelimpahan jabatan dari berbagai kementerian.","Item","6 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"21",,121301,,"21",,"Pengadilan Tinggi Jogja kepada Presiden: Surat tgl. 15 Oktober 1949 tentang permintaan gedung untuk Pengadilan Tinggi Jogjakarta, disertai surat pengantar 26 Oktober 1949.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"22",,121301,,"22",,"Setneg kepada Kementerian Penerangan: Surat-surat tgl. 18 Oktober 1949 tentang peminjaman alat pengeras suara.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli, pertinggal",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"23",,121301,,"23",,"Perusahaan Tembako Indonesia: Surat-menyurat tgl. 19 Oktober 1949-26 Oktober 1949 tentang pesanan rokok.","Item","3 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"24",,121301,,"24",,"Surat-surat tgl. 1 April 1947-11 November 1949 tentang penggunaan cap/stempel.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"25",,121301,,"25",,"Pimpinan Tata Usaha Koperasi Perusahaan Pemborongan SEPERTI di Jakarta kepada Presiden: Surat tgl. 14 November 1949 tentang permohonan mendapat pekerjaan memperbaiki istana.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"26",,121301,,"26",,"Surat-surat tgl. 22 November 1948-23 November 1949 tentang perlengkapan di Istana Presiden.","Item","4 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli, pertinggal",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"27",,121301,,"27",,"Surat-surat tgl. 27 Februari 1948-26 November 1949 tentang pengadaan perlengkapan pada Kantor Setneg.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"28",,121301,,"28",,"Setneg kepada Soetopo di Jawatan Gedung-gedung: Nota tgl. 26 November 1949 tentang perbaikan pada Kantor Setneg.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"29",,121301,,"29",,"Surat-surat tgl. 11 Juni 1947-1 Desember 1949 tentang nama-nama pejabat dan orang terkemuka dari berbagai Kementerian.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"30",,121301,,"30",,"Daftar surat-surat masuk tgl. 29 November 1949-5 Desember 1949.","Item","3 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"31",,121301,,"31",,"Surat-surat pengantar tgl. 10 Januari 1946-15 Desember 1949.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli, pertinggal",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"32",,121301,,"32",,"Surat-surat tgl. 6 Februari 1948-21 Desember 1949 tentang alamat-alamat kantor.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"33",,121301,,"33",,"Surat-surat tgl. 27 Mei-21 Desember 1949 tentang kendaraan bermotor.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
,121302,121300,,,,"B. KEPEGAWAIAN","File",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"34",,121302,,"34",,"Prof. Asikin kepada Setneg: Telegram tgl. 17 Agustus 1948 tentang pemberitahuan sakit.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"35",,121302,,"35",,"Daftar pegawai dan gaji pegawai Setneg tgl. 19 Juli 1949.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"36",,121302,,"36",,"Surat-surat tgl. 11 Juli 1949 dan 20 Agustus 1949 tentang pemberitahuan pegawai Setneg.","Item","3 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli, pertinggal",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"37",,121302,,"37",,"Daftar Penetapan Pemberhentian Pegawai Setneg (Presidenan) no. 6/U.P./49 tgl. 23 Agustus 1949.","Item","5 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"38",,121302,,"38",,"Yusuf Surjoprayitno, pegawai Setneg kepada Setneg: Surat tgl. 5 Oktober 1949 tentang permohonan perpanjangan waktu libur.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"39",,121302,,"39",,"Daftar Riwayat Hidup Pegawai Setneg tgl. 1 April 1947-8 Oktober 1949.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli, konsep, salinan",,,,,,,,,,,,,,"Fisik arsip tidak ada","Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"40",,121302,,"40",,"Kementerian Perburuhan dan Sosial: Surat tgl. 9 November 1949 tentang pegawai Setneg yang ikut kursus administrasi pegawai rendah, disertai lampiran.","Item",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"41",,121302,,"41",,"Surat-surat Keterangan Pegawai Setneg berkenaan dengan tugas kantor, 29 September 1948-24 Desember 1949.","Item","10 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
,121303,121300,,,,"C. KEUANGAN","File",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"42",,121303,,"42",,"Daftar Ongkos Perjalanan Pegawai Setneg tgl. 15 Oktober 1947-3 November 1947.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Pertinggal",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"43",,121303,,"43",,"Setneg kepada Kementerian Keuangan: Surat tgl. 15 Desember 1948 tentang pengiriman rencana anggaran belanja tahun 1949.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Pertinggal",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"44",,121303,,"44",,"Kepala Intendance Istana Presidenan: Daftar pemasukan dan pengeluaran uang untuk peryaan 17 Agustus 1949 di Istana Presidenan.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"45",,121303,,"45",,"Pembangungan-OpBOW: Bon-bon pembelian bulan Oktober 1949 tentang pembelian barang.","Item","3 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"46",,121303,,"46",,"Ny. Kasm (?) kepada Setneg: Surat Desember 1949 tentang permohonan mendapat uang gaji bulan November dan Desember 1949.","Item","4 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
