,legacyId,parentId,qubitParentSlug,identifier,accessionNumber,title,levelOfDescription,extentAndMedium,repository,archivalHistory,acquisition,scopeAndContent,appraisal,accruals,arrangement,accessConditions,reproductionConditions,language,script,languageNote,physicalCharacteristics,findingAids,locationOfOriginals,locationOfCopies,relatedUnitsOfDescription,publicationNote,digitalObjectURI,digitalObjectChecksum,generalNote,subjectAccessPoints,placeAccessPoints,nameAccessPoints,genreAccessPoints,descriptionIdentifier,institutionIdentifier,rules,descriptionStatus,levelOfDetail,revisionHistory,languageOfDescription,scriptOfDescription,sources,archivistNote,publicationStatus,physicalObjectName,physicalObjectLocation,physicalObjectType,alternativeIdentifiers,alternativeIdentifierLabels,eventDates,eventTypes,eventStartDates,eventEndDates,eventDescriptions,eventActors,eventActorHistories,eventPlaces,culture
0,121299.0,,,0,,Sekretariat Negara Republik Indonesia 1945-1949,Fonds,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,Inventaris Arsip Sekretariat Negara Republik Indonesia Tahun 1945-1949,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
1,121300.0,121299.0,,0,,I. KESEKRETARIATAN,Series,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
2,121301.0,121300.0,,0,,A. TATA USAHA DAN RUMAH TANGGA,File,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
3,,121301.0,,1,,Pemerintah RI Jogjakarta: Peraturan No. 62 tgl. 6 November 1948 tentang hak untuk mempergunakan gedung-gedung dan lain sebagainya di Daerah Istimewa Jogjakarta.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
4,,121301.0,,2,,Menteri Negara Ri Koordinator Keamanan: Peraturan No. R.I/4 tgl. 4 Juli 1949 tentang mempergunakan gedung-gedung. Risalah peringatan wafatnya K.H. Hasyim Asyari.,Item,6 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Stensilan,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
5,,121301.0,,3,,Menteri Pertahanan: Surat Keputusan No. A/609/1948 tgl. 9 November 1948 tentang perubahan cap Kementerian Pertahanan disertai surat pengantar.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
6,,121301.0,,4,,Wakil Sekretaris Negara: Surat Edaran No. 357/P/49 tentang permintaan bantuan kertas.,Item,4 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Stensilan,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
7,,121301.0,,5,,Struktur organisasi Urusan Rumah-Tangga Presiden RI.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
8,,121301.0,,6,,"Peta Meja Makan Bersama Presiden, C.G. Belgi v.d. Stichelen.",Item,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,Fisik arsip tidak ada,Draft,,,,,,,,,,,Sekretariat Negara,,,id
9,,121301.0,,7,,Daftar barang-barang perak tahun 1948.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
10,,121301.0,,8,,Setneg kepada Suryocondro: Telegram No. 452/K-48 tgl. 20 Maret 1948 tentang pemeriksaan penyakit Presiden RI ditangguhkan dahulu.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Pertinggal,,,,,,,,,,,,,,,Draft,,,,,,,,,,,Sekretariat Negara,,,id
